numero_pedido;documento;vendedor;valor_pedido;data_pedido;origem_venda;canal;tipo_cupom;ano;mes;nome_mes;trimestre;dia_semana;ano_mes;semana_ano;faixa_valor;nome_cliente;status_cliente
PED100032;57.660.920/7583-49;Patrícia;496,23;2022-01-26;Loja Física;Loja;Parceiro;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;R$201-500;Bruna Souza;active
PED100033;32.578.210/8803-38;Patrícia;2321,79;2022-01-20;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;3;R$2001-5000;Sofia Santos;active
PED100034;84.673.577/4761-47;Luciana;784,66;2022-01-29;E-commerce;Site;Frete Grátis;2022;1;Jan;Q1/2022;Saturday;2022-01;4;R$501-1000;Isabela Lima;active
PED100035;30.860.867/5297-83;Adriana;626,82;2022-01-22;E-commerce;App;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;3;R$501-1000;Sofia Costa;active
PED100036;77.925.600/6745-84;Renata;595,66;2022-01-05;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Wednesday;2022-01;1;R$501-1000;Paula Carvalho;active
PED100037;33.893.631/6267-96;Adriana;530,95;2022-01-03;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Monday;2022-01;1;R$501-1000;Maria Costa;inactive
PED100038;91.865.832/6462-61;Camila;334,53;2022-01-24;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Monday;2022-01;4;R$201-500;Joana Santos;inactive
PED100039;12.630.122/7247-16;Juliana;856,46;2022-01-15;E-commerce;Link;Parceiro;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$501-1000;Paula Souza;active
PED100040;63.779.477/4227-46;Simone;885,72;2022-01-16;Loja Física;Loja;Frete Grátis;2022;1;Jan;Q1/2022;Sunday;2022-01;2;R$501-1000;Fernanda Gomes;active
PED100041;35.212.587/9733-16;Larissa;559,69;2022-01-14;E-commerce;Link;Desconto;2022;1;Jan;Q1/2022;Friday;2022-01;2;R$501-1000;Gabriela Rodrigues;active
PED100042;53.241.882/4599-11;Juliana;776,93;2022-01-15;E-commerce;App;Desconto;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$501-1000;Maria Santos;active
PED100043;74.546.710/4483-10;Vanessa;1064,28;2022-01-26;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;R$1001-2000;Fernanda Silva;active
PED100044;57.880.684/4828-86;Elaine;993,5;2022-01-02;E-commerce;App;Cashback;2022;1;Jan;Q1/2022;Sunday;2022-01;0;R$501-1000;Fernanda Gomes;inactive
PED100045;32.842.401/1254-53;Simone;440,2;2022-01-27;E-commerce;Site;Parceiro;2022;1;Jan;Q1/2022;Thursday;2022-01;4;R$201-500;Mariana Gomes;active
PED100046;17.313.124/7911-82;Amanda;168,57;2022-01-17;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Monday;2022-01;3;Até R$200;Natalia Martins;active
PED100047;27.308.385/2033-67;Simone;168,28;2022-01-26;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;Até R$200;Natalia Costa;active
PED100048;61.669.387/4176-69;Larissa;801,03;2022-01-18;E-commerce;App;Desconto;2022;1;Jan;Q1/2022;Tuesday;2022-01;3;R$501-1000;Sofia Costa;active
PED100049;58.528.576/9477-25;Débora;899,75;2022-01-08;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;1;R$501-1000;Ana Lima;active
PED100050;40.571.474/7797-34;Simone;1064,24;2022-01-07;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Friday;2022-01;1;R$1001-2000;Ana Rodrigues;active
PED100051;47.533.137/6990-65;Bianca;1334,67;2022-01-09;E-commerce;Link;Parceiro;2022;1;Jan;Q1/2022;Sunday;2022-01;1;R$1001-2000;Bruna Gomes;active
PED100052;22.293.479/2426-33;Aline;653,06;2022-01-12;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Wednesday;2022-01;2;R$501-1000;Beatriz Nascimento;inactive
PED100053;70.520.762/6972-49;Carla;2063,88;2022-01-09;Loja Física;Loja;Parceiro;2022;1;Jan;Q1/2022;Sunday;2022-01;1;R$2001-5000;Joana Rodrigues;inactive
PED100054;12.511.941/6489-57;Amanda;1765,97;2022-01-29;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;4;R$1001-2000;Camila Ferreira;active
PED100055;75.769.998/8545-30;Aline;846,77;2022-01-15;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$501-1000;Isabela Souza;active
PED100056;75.567.831/9195-88;Fernanda;1502,05;2022-01-24;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Monday;2022-01;4;R$1001-2000;Beatriz Rodrigues;active
PED100057;76.921.125/2885-35;Mariana;988,26;2022-01-07;E-commerce;App;Frete Grátis;2022;1;Jan;Q1/2022;Friday;2022-01;1;R$501-1000;Isabela Santos;active
PED100058;35.494.573/4088-97;Fernanda;976,16;2022-01-03;E-commerce;App;Cashback;2022;1;Jan;Q1/2022;Monday;2022-01;1;R$501-1000;Juliana Ferreira;active
PED100059;50.748.290/1932-23;Amanda;676,01;2022-01-09;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;1;R$501-1000;Amanda Rodrigues;active
PED100060;50.256.114/1064-98;Camila;149,69;2022-01-11;E-commerce;Link;Desconto;2022;1;Jan;Q1/2022;Tuesday;2022-01;2;Até R$200;Clara Gomes;active
PED100061;46.392.584/8614-44;Mariana;1011,68;2022-01-26;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;R$1001-2000;Isabela Almeida;inactive
PED100062;49.118.117/1768-87;Elaine;1267,07;2022-01-14;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Friday;2022-01;2;R$1001-2000;Bruna Almeida;active
PED100063;82.502.921/7255-27;Patrícia;334,51;2022-01-25;Loja Física;Loja;Parceiro;2022;1;Jan;Q1/2022;Tuesday;2022-01;4;R$201-500;Isabela Costa;active
PED100064;83.435.167/5853-31;Simone;347,91;2022-01-30;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;4;R$201-500;Patricia Lima;active
PED100065;16.756.548/1761-35;Fernanda;560,94;2022-01-23;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;3;R$501-1000;Fernanda Araujo;inactive
PED100066;31.948.821/2192-83;Aline;1312,17;2022-01-30;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Sunday;2022-01;4;R$1001-2000;Paula Rodrigues;active
PED100067;23.374.170/8008-53;Priscila;995,88;2022-01-17;E-commerce;App;Frete Grátis;2022;1;Jan;Q1/2022;Monday;2022-01;3;R$501-1000;Natalia Souza;active
PED100068;35.683.360/5366-25;Luciana;428,6;2022-01-25;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Tuesday;2022-01;4;R$201-500;Luiza Martins;active
PED100069;20.963.479/1666-30;Camila;374,67;2022-01-19;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Wednesday;2022-01;3;R$201-500;Mariana Silva;active
PED100070;78.482.881/1047-70;Mariana;671,82;2022-01-05;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Wednesday;2022-01;1;R$501-1000;Natalia Silva;active
PED100071;28.345.210/4349-42;Larissa;875,14;2022-01-27;E-commerce;Site;Parceiro;2022;1;Jan;Q1/2022;Thursday;2022-01;4;R$501-1000;Gabriela Ferreira;active
PED100072;88.486.801/6068-97;Tatiane;769,7;2022-01-02;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;0;R$501-1000;Renata Santos;active
PED100073;17.125.534/7316-53;Renata;1041,44;2022-01-14;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Friday;2022-01;2;R$1001-2000;Fernanda Lima;inactive
PED100074;97.718.523/9325-29;Mariana;332,87;2022-01-29;E-commerce;Site;Cashback;2022;1;Jan;Q1/2022;Saturday;2022-01;4;R$201-500;Beatriz Araujo;active
PED100075;58.583.948/1721-32;Débora;1402,24;2022-01-01;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;0;R$1001-2000;Ana Lima;active
PED100076;32.986.937/4940-93;Renata;453,38;2022-01-04;E-commerce;App;Frete Grátis;2022;1;Jan;Q1/2022;Tuesday;2022-01;1;R$201-500;Beatriz Carvalho;active
PED100077;54.197.230/3983-64;Vanessa;875,03;2022-01-15;E-commerce;Site;Frete Grátis;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$501-1000;Bruna Carvalho;active
PED100078;58.775.888/1292-33;Mariana;1868,26;2022-01-08;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;1;R$1001-2000;Ana Martins;active
PED100079;33.491.310/9558-57;Elaine;1013,19;2022-01-02;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;0;R$1001-2000;Bruna Lima;active
PED100080;19.636.892/5259-23;Adriana;440,39;2022-01-05;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Wednesday;2022-01;1;R$201-500;Paula Carvalho;active
PED100081;34.173.559/3758-73;Priscila;392,64;2022-01-18;Loja Física;Loja;Desconto;2022;1;Jan;Q1/2022;Tuesday;2022-01;3;R$201-500;Beatriz Lima;active
PED100082;29.232.890/4385-68;Débora;354,02;2022-01-15;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$201-500;Bruna Oliveira;active
PED100083;40.304.601/3978-25;Simone;219,98;2022-01-19;E-commerce;Link;Frete Grátis;2022;1;Jan;Q1/2022;Wednesday;2022-01;3;R$201-500;Isabela Nascimento;active
PED100084;30.397.416/1569-63;Vanessa;1244,24;2022-01-18;E-commerce;Link;Desconto;2022;1;Jan;Q1/2022;Tuesday;2022-01;3;R$1001-2000;Renata Martins;active
PED100085;29.888.949/3889-35;Vanessa;275,88;2022-01-29;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Saturday;2022-01;4;R$201-500;Natalia Rodrigues;inactive
PED100086;48.932.810/1070-16;Bianca;1337,21;2022-01-08;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;1;R$1001-2000;Luiza Rodrigues;active
PED100087;50.731.226/6374-64;Mariana;673,4;2022-01-27;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;4;R$501-1000;Luiza Silva;active
PED100088;15.381.468/4174-64;Amanda;586,99;2022-01-01;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;0;R$501-1000;Paula Gomes;active
PED100089;44.540.952/6308-40;Fernanda;1090,38;2022-01-26;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;R$1001-2000;Camila Lima;active
PED100090;54.864.474/5029-60;Tatiane;435,31;2022-01-23;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;3;R$201-500;Amanda Carvalho;inactive
PED100091;19.947.499/3014-98;Keli;1506,97;2022-01-20;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;3;R$1001-2000;Isabela Carvalho;inactive
PED100092;28.929.698/4290-48;Tatiane;224,47;2022-01-20;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;3;R$201-500;Natalia Silva;active
PED100093;76.797.198/3933-93;Patrícia;1094,13;2022-01-11;E-commerce;Site;Frete Grátis;2022;1;Jan;Q1/2022;Tuesday;2022-01;2;R$1001-2000;Paula Almeida;active
PED100094;35.212.587/9733-16;Larissa;135,46;2022-01-13;E-commerce;Site;Cashback;2022;1;Jan;Q1/2022;Thursday;2022-01;2;Até R$200;Gabriela Rodrigues;active
PED100095;47.143.796/5599-68;Simone;1147,9;2022-01-21;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Friday;2022-01;3;R$1001-2000;Leticia Oliveira;inactive
PED100096;46.148.151/6408-31;Camila;659,33;2022-01-05;E-commerce;Site;Cashback;2022;1;Jan;Q1/2022;Wednesday;2022-01;1;R$501-1000;Joana Araujo;active
PED100097;83.326.474/6619-61;Carla;245,22;2022-01-17;E-commerce;App;Sem Cupom;2022;1;Jan;Q1/2022;Monday;2022-01;3;R$201-500;Juliana Lima;active
PED100098;28.851.700/4898-46;Bianca;1008,47;2022-01-13;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;2;R$1001-2000;Beatriz Almeida;active
PED100099;95.862.489/9910-97;Débora;830,09;2022-01-23;E-commerce;App;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;3;R$501-1000;Renata Ferreira;active
PED100100;22.632.502/8480-34;Patrícia;628,16;2022-01-30;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;4;R$501-1000;Beatriz Oliveira;active
PED100101;96.483.791/8069-42;Larissa;705,55;2022-01-26;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;R$501-1000;Clara Gomes;active
PED100102;13.359.224/4153-36;Fernanda;242,68;2022-01-30;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Sunday;2022-01;4;R$201-500;Camila Carvalho;active
PED100103;76.150.708/4675-17;Camila;373,66;2022-01-27;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Thursday;2022-01;4;R$201-500;Patricia Lima;active
PED100104;74.154.478/6069-49;Juliana;2339,92;2022-01-07;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Friday;2022-01;1;R$2001-5000;Isabela Rodrigues;active
PED100105;85.269.620/1954-97;Mariana;400,45;2022-01-18;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Tuesday;2022-01;3;R$201-500;Juliana Lima;active
PED100106;24.776.182/8813-92;Tatiane;1138,17;2022-01-01;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;0;R$1001-2000;Patricia Silva;active
PED100107;55.627.497/8430-23;Débora;760,65;2022-01-22;Loja Física;Loja;Desconto;2022;1;Jan;Q1/2022;Saturday;2022-01;3;R$501-1000;Leticia Rodrigues;inactive
PED100108;72.636.743/5274-20;Larissa;468,5;2022-01-04;E-commerce;Link;Frete Grátis;2022;1;Jan;Q1/2022;Tuesday;2022-01;1;R$201-500;Natalia Carvalho;active
PED100109;24.927.450/3024-52;Renata;3062,13;2022-01-03;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Monday;2022-01;1;R$2001-5000;Natalia Martins;inactive
PED100110;77.715.435/7964-34;Renata;261,56;2022-01-16;E-commerce;Site;Frete Grátis;2022;1;Jan;Q1/2022;Sunday;2022-01;2;R$201-500;Luiza Pereira;active
PED100111;14.396.719/3407-70;Renata;1656,42;2022-01-13;Loja Física;Loja;Frete Grátis;2022;1;Jan;Q1/2022;Thursday;2022-01;2;R$1001-2000;Fernanda Silva;inactive
PED100112;82.252.836/6246-74;Larissa;330,68;2022-01-24;Loja Física;Loja;Parceiro;2022;1;Jan;Q1/2022;Monday;2022-01;4;R$201-500;Paula Almeida;active
PED100113;51.311.592/9560-32;Keli;376,53;2022-01-28;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Friday;2022-01;4;R$201-500;Juliana Rodrigues;active
PED100114;21.621.932/8069-17;Patrícia;697,06;2022-01-12;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Wednesday;2022-01;2;R$501-1000;Ana Araujo;active
PED100115;38.475.519/1728-30;Vanessa;2616,96;2022-01-22;E-commerce;App;Frete Grátis;2022;1;Jan;Q1/2022;Saturday;2022-01;3;R$2001-5000;Amanda Ferreira;active
PED100116;42.527.170/3567-82;Priscila;388,34;2022-01-13;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;2;R$201-500;Natalia Pereira;inactive
PED100117;83.759.716/7742-62;Mariana;2393,06;2022-01-28;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Friday;2022-01;4;R$2001-5000;Amanda Nascimento;active
PED100118;43.968.951/9252-81;Keli;756,78;2022-01-04;Loja Física;Loja;Frete Grátis;2022;1;Jan;Q1/2022;Tuesday;2022-01;1;R$501-1000;Maria Costa;active
PED100119;50.762.232/8494-66;Elaine;602,98;2022-01-25;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Tuesday;2022-01;4;R$501-1000;Maria Ferreira;active
PED100120;36.529.462/7591-60;Priscila;335,95;2022-01-03;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Monday;2022-01;1;R$201-500;Bruna Nascimento;active
PED100121;41.861.668/3357-25;Elaine;2215,63;2022-01-05;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Wednesday;2022-01;1;R$2001-5000;Gabriela Ferreira;active
PED100122;35.722.553/1634-67;Patrícia;1632,75;2022-01-28;Loja Física;Loja;Frete Grátis;2022;1;Jan;Q1/2022;Friday;2022-01;4;R$1001-2000;Maria Lima;active
PED100123;91.628.172/4085-58;Simone;894,93;2022-01-09;E-commerce;Site;Parceiro;2022;1;Jan;Q1/2022;Sunday;2022-01;1;R$501-1000;Camila Oliveira;active
PED100124;95.764.821/7716-21;Fernanda;613,51;2022-01-24;E-commerce;App;Frete Grátis;2022;1;Jan;Q1/2022;Monday;2022-01;4;R$501-1000;Natalia Silva;active
PED100125;15.788.633/4787-13;Carla;663,66;2022-01-21;Loja Física;Loja;Desconto;2022;1;Jan;Q1/2022;Friday;2022-01;3;R$501-1000;Joana Oliveira;active
PED100126;45.580.104/8959-26;Bianca;1103,24;2022-01-22;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Saturday;2022-01;3;R$1001-2000;Leticia Carvalho;active
PED100127;63.984.342/4564-83;Camila;1124,28;2022-01-14;Loja Física;Loja;Parceiro;2022;1;Jan;Q1/2022;Friday;2022-01;2;R$1001-2000;Bruna Araujo;active
PED100128;45.424.678/3808-56;Elaine;1008,15;2022-01-20;E-commerce;Link;Cashback;2022;1;Jan;Q1/2022;Thursday;2022-01;3;R$1001-2000;Joana Gomes;active
PED100129;10.390.931/1500-67;Patrícia;1598,75;2022-01-03;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Monday;2022-01;1;R$1001-2000;Beatriz Lima;active
PED100130;32.657.923/9101-93;Priscila;1514,54;2022-01-25;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Tuesday;2022-01;4;R$1001-2000;Ana Lima;active
PED100131;58.202.920/1192-71;Juliana;488,42;2022-01-10;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Monday;2022-01;2;R$201-500;Patricia Silva;active
PED100132;48.253.349/9865-63;Juliana;770,04;2022-01-12;Loja Física;Loja;Parceiro;2022;1;Jan;Q1/2022;Wednesday;2022-01;2;R$501-1000;Paula Costa;active
PED100133;17.578.739/1366-41;Aline;533,43;2022-01-12;E-commerce;Site;Parceiro;2022;1;Jan;Q1/2022;Wednesday;2022-01;2;R$501-1000;Sofia Araujo;inactive
PED100134;48.692.286/4667-97;Fernanda;533,42;2022-01-07;E-commerce;Link;Desconto;2022;1;Jan;Q1/2022;Friday;2022-01;1;R$501-1000;Camila Martins;active
PED100135;72.389.308/6594-38;Mariana;575,13;2022-01-05;E-commerce;Site;Parceiro;2022;1;Jan;Q1/2022;Wednesday;2022-01;1;R$501-1000;Ana Araujo;active
PED100136;25.454.658/8354-40;Mariana;1271,89;2022-01-10;E-commerce;App;Desconto;2022;1;Jan;Q1/2022;Monday;2022-01;2;R$1001-2000;Bruna Oliveira;inactive
PED100137;31.652.943/9850-98;Fernanda;578,81;2022-01-14;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Friday;2022-01;2;R$501-1000;Ana Gomes;active
PED100138;14.803.814/3820-45;Luciana;342,71;2022-01-06;E-commerce;App;Parceiro;2022;1;Jan;Q1/2022;Thursday;2022-01;1;R$201-500;Natalia Pereira;active
PED100139;19.938.977/3870-10;Carla;234,65;2022-01-15;E-commerce;App;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$201-500;Paula Souza;active
PED100140;50.442.925/9497-39;Aline;715,27;2022-01-24;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Monday;2022-01;4;R$501-1000;Maria Araujo;active
PED100141;48.420.332/6789-62;Adriana;526,69;2022-01-29;Loja Física;Loja;Desconto;2022;1;Jan;Q1/2022;Saturday;2022-01;4;R$501-1000;Clara Santos;active
PED100142;61.915.375/8255-40;Larissa;676,59;2022-01-06;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;1;R$501-1000;Beatriz Oliveira;active
PED100143;54.197.230/3983-64;Bianca;865,01;2022-01-22;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Saturday;2022-01;3;R$501-1000;Bruna Carvalho;active
PED100144;71.210.350/3430-16;Juliana;1051,52;2022-01-25;Loja Física;Loja;Desconto;2022;1;Jan;Q1/2022;Tuesday;2022-01;4;R$1001-2000;Maria Almeida;active
PED100145;71.353.680/8565-51;Simone;539,38;2022-01-26;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;R$501-1000;Mariana Oliveira;active
PED100146;70.651.292/6758-42;Luciana;2092,28;2022-01-12;Loja Física;Loja;Frete Grátis;2022;1;Jan;Q1/2022;Wednesday;2022-01;2;R$2001-5000;Ana Almeida;active
