documento;nome_cliente;status_cliente;vendedor_crm;ddd;data_cadastro;recencia;frequencia;monetario;ticket_medio;segmento;omnichannel;primeira_compra;ultima_compra
83.369.962/8629-96;Amanda Souza;active;Aline;11;2024-11-23;58,0;4,0;5764,64;1441,16;VIP;True;2022-10-06;2024-10-03
71.395.824/7863-91;Camila Almeida;active;Aline;31;2022-01-01;182,0;3,0;2273,16;757,72;Leal;True;2022-04-05;2024-06-01
62.891.316/5859-69;Luiza Ferreira;active;Patrícia;61;2022-05-31;625,0;1,0;896,01;896,01;Inativo;False;2023-03-16;2023-03-16
50.256.114/1064-98;Clara Gomes;active;Vanessa;71;2024-06-20;258,0;3,0;2224,5;741,5;Em Risco;True;2022-01-11;2024-03-17
80.620.443/3027-17;Luiza Carvalho;active;Luciana;31;2022-09-15;326,0;9,0;8631,49;959,05;Em Risco;True;2022-05-10;2024-01-09
97.162.238/6618-90;Luiza Pereira;active;Bianca;41;2024-01-20;392,0;3,0;1594,66;531,55;Inativo;True;2022-06-29;2023-11-04
17.774.518/6892-50;Camila Costa;active;Renata;61;2023-09-20;362,0;4,0;1601,06;400,26;Em Risco;False;2022-08-28;2023-12-04
37.234.300/4104-57;Amanda Almeida;inactive;Luciana;51;2024-03-05;560,0;1,0;4141,9;4141,9;Inativo;False;2023-05-20;2023-05-20
32.673.827/9996-53;Isabela Araujo;active;Camila;91;2022-01-19;236,0;5,0;4857,51;971,5;Em Risco;True;2022-04-04;2024-04-08
95.646.838/9110-87;Gabriela Rodrigues;active;Bianca;11;2022-02-04;10,0;5,0;4882,5;976,5;VIP;True;2022-06-04;2024-11-20
12.868.104/8385-23;Patricia Martins;active;Renata;51;2023-01-06;46,0;3,0;1044,73;348,24;Leal;True;2023-10-27;2024-10-15
36.492.306/6134-51;Amanda Martins;active;Aline;11;2023-05-06;330,0;5,0;1927,89;385,58;Em Risco;True;2022-02-22;2024-01-05
86.790.674/1863-61;Natalia Lima;active;Fernanda;81;2024-03-27;406,0;1,0;3287,54;3287,54;Inativo;False;2023-10-21;2023-10-21
13.833.584/8574-24;Luiza Pereira;active;Bianca;71;2022-01-07;21,0;4,0;6960,48;1740,12;VIP;True;2023-05-14;2024-11-09
52.640.135/7668-41;Paula Lima;active;Débora;51;2023-07-03;49,0;4,0;2059,76;514,94;Leal;True;2023-06-24;2024-10-12
80.798.342/4157-37;Patricia Santos;active;Tatiane;61;2023-01-06;56,0;4,0;7748,04;1937,01;VIP;False;2022-01-15;2024-10-05
75.781.656/3693-37;Clara Carvalho;active;Carla;41;2024-01-27;10,0;5,0;2047,21;409,44;Leal;True;2023-01-03;2024-11-20
37.719.655/6450-98;Ana Oliveira;active;Vanessa;91;2023-07-28;1,0;6,0;4895,41;815,9;VIP;True;2023-10-21;2024-11-29
71.324.484/2306-71;Joana Araujo;active;Larissa;31;2023-11-12;38,0;3,0;1906,49;635,5;Leal;False;2022-07-21;2024-10-23
86.844.358/8526-79;Fernanda Souza;active;Renata;21;2022-03-29;255,0;5,0;5833,09;1166,62;Em Risco;True;2023-04-19;2024-03-20
81.510.748/5413-46;Luiza Silva;active;Adriana;71;2023-04-08;119,0;4,0;3118,32;779,58;VIP;True;2022-11-08;2024-08-03
60.333.783/1663-88;Bruna Ferreira;inactive;Luciana;21;2023-04-26;198,0;3,0;3935,48;1311,83;Em Risco;True;2022-03-17;2024-05-16
68.473.771/2495-61;Fernanda Gomes;active;Mariana;61;2024-04-02;158,0;4,0;5388,26;1347,06;VIP;True;2023-06-01;2024-06-25
71.596.541/2291-48;Juliana Costa;active;Adriana;81;2023-06-08;482,0;2,0;2110,2;1055,1;Inativo;False;2022-03-12;2023-08-06
11.486.212/2636-65;Isabela Oliveira;active;Vanessa;31;2022-07-30;12,0;6,0;6383,65;1063,94;VIP;True;2022-06-18;2024-11-18
90.798.212/5737-63;Gabriela Lima;active;Tatiane;31;2022-09-01;621,0;3,0;1978,47;659,49;Inativo;True;2022-02-08;2023-03-20
96.835.324/7528-28;Camila Carvalho;active;Elaine;31;2022-08-27;285,0;2,0;3082,7;1541,35;Regular;True;2022-11-09;2024-02-19
11.152.783/6791-79;Patricia Nascimento;active;Simone;11;2024-02-08;218,0;1,0;348,61;348,61;Regular;False;2024-04-26;2024-04-26
41.346.935/4510-84;Patricia Rodrigues;active;Carla;91;2022-08-23;843,0;1,0;515,36;515,36;Inativo;False;2022-08-10;2022-08-10
65.222.500/9958-47;Mariana Pereira;active;Patrícia;51;2022-07-06;273,0;1,0;576,3;576,3;Regular;False;2024-03-02;2024-03-02
33.936.983/8777-79;Amanda Ferreira;active;Elaine;91;2023-12-14;134,0;1,0;1045,69;1045,69;Novo Promissor;False;2024-07-19;2024-07-19
95.610.851/7287-82;Joana Oliveira;active;Bianca;51;2023-05-12;557,0;1,0;1311,03;1311,03;Inativo;False;2023-05-23;2023-05-23
68.425.563/1659-68;Luiza Costa;active;Aline;71;2022-07-06;105,0;5,0;6024,08;1204,82;VIP;True;2022-04-05;2024-08-17
45.502.445/2986-28;Fernanda Costa;active;Juliana;11;2024-07-24;38,0;4,0;3021,55;755,39;VIP;True;2022-12-17;2024-10-23
29.963.810/2843-42;Joana Costa;active;Renata;91;2022-11-09;38,0;3,0;2440,51;813,5;Leal;True;2023-03-25;2024-10-23
49.739.650/3385-10;Camila Lima;active;Tatiane;11;2024-03-29;261,0;6,0;3739,29;623,22;Em Risco;True;2022-06-25;2024-03-14
20.572.250/6534-51;Isabela Oliveira;inactive;Elaine;41;2022-01-22;4,0;5,0;5464,19;1092,84;VIP;True;2022-11-06;2024-11-26
16.863.243/9815-69;Natalia Martins;active;Amanda;71;2022-03-09;267,0;4,0;1828,58;457,14;Em Risco;False;2022-12-01;2024-03-08
11.996.403/5548-46;Renata Nascimento;inactive;Juliana;91;2023-01-27;11,0;5,0;14970,16;2994,03;VIP;True;2023-10-10;2024-11-19
41.108.332/4170-28;Renata Pereira;active;Renata;11;2023-12-30;119,0;2,0;830,01;415,0;Novo Promissor;True;2023-10-01;2024-08-03
57.307.230/5499-33;Sofia Ferreira;active;Keli;61;2023-06-25;542,0;4,0;5887,82;1471,96;Perdendo VIP;True;2022-11-20;2023-06-07
63.219.772/2648-81;Mariana Almeida;active;Priscila;51;2023-07-22;57,0;4,0;2006,9;501,72;Leal;True;2022-05-26;2024-10-04
45.521.203/9445-98;Ana Costa;active;Elaine;31;2024-06-18;965,0;1,0;3863,59;3863,59;Inativo;False;2022-04-10;2022-04-10
34.960.995/5973-91;Patricia Oliveira;active;Mariana;21;2022-07-31;79,0;2,0;2006,03;1003,02;Novo Promissor;True;2023-05-08;2024-09-12
75.921.262/1956-50;Clara Souza;active;Carla;11;2022-07-19;32,0;5,0;5084,46;1016,89;VIP;True;2022-02-05;2024-10-29
42.679.900/5493-30;Beatriz Souza;active;Bianca;21;2024-09-13;74,0;3,0;3211,61;1070,54;Leal;True;2022-12-19;2024-09-17
57.603.995/2218-26;Natalia Pereira;active;Simone;41;2022-06-27;;;;;Regular;False;;
42.787.559/9050-95;Isabela Oliveira;active;Fernanda;61;2024-07-19;114,0;6,0;5434,66;905,78;VIP;True;2022-06-28;2024-08-08
31.849.769/4436-60;Juliana Silva;active;Amanda;51;2022-02-13;551,0;2,0;1520,66;760,33;Inativo;True;2022-02-27;2023-05-29
63.875.382/1225-30;Ana Souza;active;Luciana;41;2022-06-17;477,0;1,0;472,95;472,95;Inativo;False;2023-08-11;2023-08-11
39.708.383/8022-73;Fernanda Ferreira;active;Bianca;81;2022-10-14;207,0;3,0;2936,22;978,74;Em Risco;True;2022-04-15;2024-05-07
78.928.915/8683-44;Amanda Lima;active;Luciana;71;2023-12-10;394,0;1,0;245,39;245,39;Inativo;False;2023-11-02;2023-11-02
73.148.611/9208-53;Paula Oliveira;active;Tatiane;41;2022-12-03;511,0;3,0;5319,31;1773,1;Inativo;True;2022-04-10;2023-07-08
39.576.145/4444-15;Isabela Ferreira;active;Adriana;51;2023-08-09;296,0;2,0;859,27;429,64;Regular;True;2022-05-05;2024-02-08
46.379.448/1301-62;Natalia Silva;active;Fernanda;51;2022-07-02;12,0;7,0;5083,02;726,15;VIP;True;2022-01-08;2024-11-18
69.215.290/1980-41;Isabela Ferreira;active;Carla;31;2022-01-16;239,0;1,0;227,77;227,77;Regular;False;2024-04-05;2024-04-05
96.260.355/4394-27;Ana Souza;active;Fernanda;91;2024-06-05;143,0;4,0;2882,61;720,65;VIP;True;2022-08-09;2024-07-10
34.834.665/1569-76;Sofia Costa;active;Priscila;51;2024-04-16;222,0;6,0;3275,1;545,85;Em Risco;True;2022-10-08;2024-04-22
55.891.725/8455-56;Gabriela Araujo;active;Carla;21;2022-04-20;26,0;4,0;3991,4;997,85;VIP;False;2023-07-20;2024-11-04
95.762.738/1154-11;Leticia Ferreira;active;Fernanda;41;2022-11-02;278,0;3,0;5088,85;1696,28;Em Risco;True;2023-03-21;2024-02-26
26.203.492/8343-48;Gabriela Souza;active;Patrícia;41;2024-09-06;505,0;2,0;1844,87;922,44;Inativo;True;2023-04-22;2023-07-14
51.858.637/6986-59;Joana Souza;active;Bianca;51;2022-01-06;;;;;Regular;False;;
34.507.624/7971-16;Natalia Souza;active;Amanda;81;2024-04-22;389,0;2,0;5649,39;2824,7;Inativo;True;2023-10-24;2023-11-07
66.135.784/3368-17;Gabriela Ferreira;active;Simone;51;2022-12-27;224,0;4,0;2271,76;567,94;Em Risco;True;2022-08-09;2024-04-20
25.753.982/7614-24;Ana Rodrigues;active;Patrícia;11;2023-10-18;192,0;4,0;2902,23;725,56;VIP;True;2022-10-11;2024-05-22
75.899.826/1853-60;Gabriela Rodrigues;inactive;Carla;21;2024-09-10;9,0;5,0;2386,37;477,27;Leal;True;2022-04-11;2024-11-21
34.797.674/2148-31;Clara Oliveira;active;Bianca;31;2023-12-25;;;;;Regular;False;;
67.669.441/5777-79;Isabela Nascimento;active;Adriana;31;2022-04-25;33,0;4,0;5369,15;1342,29;VIP;True;2022-11-15;2024-10-28
24.153.543/4124-69;Paula Carvalho;inactive;Tatiane;61;2022-10-03;620,0;1,0;2682,01;2682,01;Inativo;False;2023-03-21;2023-03-21
14.202.295/5869-56;Amanda Souza;active;Keli;91;2022-03-21;38,0;6,0;3945,05;657,51;VIP;True;2023-04-12;2024-10-23
64.919.755/5465-39;Paula Araujo;inactive;Larissa;11;2022-06-28;207,0;3,0;1807,87;602,62;Em Risco;False;2022-10-12;2024-05-07
28.756.219/1830-28;Luiza Gomes;active;Camila;61;2023-07-15;359,0;6,0;4571,95;761,99;Em Risco;True;2022-10-13;2023-12-07
67.445.840/9308-71;Natalia Martins;active;Elaine;91;2023-05-24;361,0;3,0;2203,57;734,52;Em Risco;True;2023-02-06;2023-12-05
32.226.492/2931-10;Sofia Rodrigues;active;Aline;41;2022-09-17;37,0;5,0;5150,11;1030,02;VIP;True;2023-09-01;2024-10-24
67.733.612/8805-57;Gabriela Pereira;active;Keli;31;2022-10-19;915,0;1,0;612,56;612,56;Inativo;False;2022-05-30;2022-05-30
98.587.336/4343-70;Natalia Nascimento;active;Simone;61;2024-06-03;711,0;1,0;242,05;242,05;Inativo;False;2022-12-20;2022-12-20
73.546.680/8004-76;Maria Souza;active;Aline;61;2022-10-18;56,0;3,0;2609,77;869,92;Leal;True;2023-06-24;2024-10-05
85.253.755/4506-95;Isabela Carvalho;active;Amanda;21;2023-06-26;737,0;2,0;609,11;304,56;Inativo;False;2022-10-20;2022-11-24
66.384.319/6188-56;Fernanda Silva;active;Keli;51;2024-02-03;1,0;4,0;2358,46;589,62;Leal;True;2022-01-22;2024-11-29
71.552.303/7617-57;Camila Martins;active;Keli;11;2023-08-17;40,0;4,0;3495,12;873,78;VIP;True;2023-07-24;2024-10-21
94.650.711/8421-32;Renata Santos;active;Keli;91;2024-08-05;376,0;3,0;1208,74;402,91;Em Risco;True;2023-10-13;2023-11-20
19.857.936/3849-61;Camila Costa;inactive;Aline;91;2023-04-25;95,0;3,0;3712,74;1237,58;Leal;False;2023-04-12;2024-08-27
19.861.758/3489-10;Leticia Pereira;active;Renata;31;2023-01-16;584,0;3,0;1365,68;455,23;Inativo;True;2022-09-05;2023-04-26
78.615.115/3839-89;Ana Souza;active;Juliana;51;2022-11-06;12,0;5,0;7259,84;1451,97;VIP;True;2023-05-14;2024-11-18
11.596.995/7303-93;Renata Oliveira;active;Venda Direta;31;2024-04-26;684,0;4,0;2632,08;658,02;Perdendo VIP;True;2022-04-29;2023-01-16
33.789.774/3427-42;Leticia Oliveira;active;Elaine;71;2023-03-01;95,0;5,0;4425,54;885,11;VIP;True;2022-08-23;2024-08-27
42.790.526/6732-21;Camila Martins;active;Juliana;11;2023-10-23;118,0;2,0;3493,44;1746,72;Novo Promissor;False;2023-10-16;2024-08-04
76.676.516/4913-52;Natalia Martins;active;Priscila;51;2022-08-14;;;;;Regular;False;;
53.384.496/5107-55;Amanda Santos;active;Keli;61;2022-01-25;87,0;2,0;1353,54;676,77;Novo Promissor;True;2024-06-11;2024-09-04
11.352.598/9945-44;Patricia Oliveira;active;Patrícia;71;2022-04-05;66,0;2,0;1199,6;599,8;Novo Promissor;False;2024-06-28;2024-09-25
96.948.189/9967-35;Fernanda Almeida;active;Bianca;31;2023-05-23;223,0;5,0;3256,05;651,21;Em Risco;True;2022-12-03;2024-04-21
83.701.517/9306-16;Isabela Carvalho;active;Bianca;71;2023-07-19;92,0;2,0;911,39;455,7;Novo Promissor;False;2023-10-28;2024-08-30
77.925.600/6745-84;Paula Carvalho;active;Larissa;41;2023-10-06;709,0;2,0;1389,95;694,97;Inativo;True;2022-01-05;2022-12-22
38.475.519/1728-30;Amanda Ferreira;active;Renata;61;2023-05-05;202,0;8,0;7815,37;976,92;Em Risco;True;2022-01-22;2024-05-12
45.493.968/3504-33;Paula Silva;inactive;Aline;51;2023-04-04;226,0;5,0;4864,3;972,86;Em Risco;True;2022-10-26;2024-04-18
73.838.788/2122-45;Natalia Costa;inactive;Débora;41;2024-06-19;270,0;2,0;1546,73;773,36;Regular;True;2022-08-16;2024-03-05
91.195.763/7806-71;Juliana Martins;active;Camila;61;2022-12-04;550,0;2,0;4138,47;2069,23;Inativo;False;2023-01-22;2023-05-30
46.879.468/4766-22;Maria Martins;active;Fernanda;31;2024-08-20;300,0;4,0;4740,01;1185,0;Em Risco;True;2023-01-09;2024-02-04
32.316.966/5968-39;Clara Pereira;inactive;Juliana;31;2022-12-11;604,0;2,0;1179,57;589,79;Inativo;True;2022-07-15;2023-04-06
26.980.161/9787-98;Luiza Souza;active;Vanessa;51;2023-07-30;6,0;3,0;2519,9;839,97;Leal;True;2023-11-20;2024-11-24
95.496.798/8186-58;Maria Araujo;active;Larissa;51;2024-07-31;160,0;2,0;2141,18;1070,59;Novo Promissor;False;2023-11-20;2024-06-23
21.544.332/9082-85;Joana Ferreira;active;Bianca;91;2022-12-12;838,0;1,0;300,91;300,91;Inativo;False;2022-08-15;2022-08-15
18.554.895/1717-61;Fernanda Costa;inactive;Patrícia;41;2022-11-21;1,0;4,0;4389,94;1097,49;VIP;True;2022-08-27;2024-11-29
92.605.466/9335-78;Fernanda Carvalho;active;Mariana;51;2023-04-12;256,0;5,0;4133,8;826,76;Em Risco;True;2022-04-22;2024-03-19
21.124.990/6588-62;Joana Martins;active;Débora;91;2022-04-01;26,0;6,0;3526,49;587,75;VIP;True;2022-04-20;2024-11-04
32.243.668/2062-62;Sofia Martins;active;Larissa;41;2022-10-21;544,0;1,0;1258,9;1258,9;Inativo;False;2023-06-05;2023-06-05
51.285.497/5729-14;Camila Ferreira;active;Carla;31;2023-06-08;120,0;7,0;5383,16;769,02;VIP;True;2023-03-27;2024-08-02
44.314.832/5330-84;Bruna Silva;active;Carla;71;2024-04-29;143,0;6,0;4412,59;735,43;VIP;True;2022-03-10;2024-07-10
27.850.687/8241-67;Beatriz Ferreira;active;Carla;71;2022-09-16;20,0;6,0;4051,09;675,18;VIP;True;2022-02-20;2024-11-10
26.352.329/2542-55;Fernanda Martins;active;Camila;81;2022-07-05;17,0;3,0;2621,78;873,93;Leal;False;2024-03-26;2024-11-13
22.267.269/7938-75;Leticia Oliveira;active;Camila;41;2022-12-10;139,0;1,0;479,2;479,2;Novo Promissor;False;2024-07-14;2024-07-14
14.128.264/6541-92;Natalia Ferreira;active;Priscila;41;2024-03-31;462,0;5,0;4776,8;955,36;Perdendo VIP;True;2022-03-30;2023-08-26
17.595.464/2365-26;Gabriela Santos;active;Camila;91;2024-01-11;;;;;Regular;False;;
80.316.400/4141-40;Beatriz Pereira;active;Bianca;71;2023-07-23;28,0;5,0;3645,87;729,17;VIP;True;2022-05-22;2024-11-02
28.544.975/6301-48;Bruna Gomes;active;Patrícia;31;2024-08-07;39,0;3,0;3605,22;1201,74;Leal;True;2022-12-07;2024-10-22
83.957.630/5268-22;Camila Souza;active;Elaine;91;2023-05-24;18,0;2,0;673,82;336,91;Novo Promissor;True;2022-09-13;2024-11-12
67.759.575/9647-70;Isabela Nascimento;active;Mariana;51;2022-01-16;341,0;5,0;9359,34;1871,87;Em Risco;True;2022-12-16;2023-12-25
48.100.486/1504-72;Patricia Oliveira;active;Amanda;41;2023-06-09;223,0;3,0;839,46;279,82;Em Risco;True;2023-01-29;2024-04-21
34.923.216/1133-67;Mariana Lima;inactive;Carla;11;2022-07-19;382,0;2,0;1784,06;892,03;Regular;False;2023-06-10;2023-11-14
53.784.771/7316-70;Natalia Costa;active;Adriana;91;2022-11-05;234,0;5,0;4164,53;832,91;Em Risco;True;2022-03-08;2024-04-10
56.248.179/6348-45;Ana Nascimento;active;Larissa;61;2022-09-16;477,0;2,0;2690,86;1345,43;Inativo;True;2022-09-27;2023-08-11
28.631.540/7190-58;Renata Oliveira;active;Bianca;21;2023-03-01;497,0;4,0;2693,86;673,46;Perdendo VIP;True;2022-09-02;2023-07-22
23.242.514/4584-63;Paula Santos;active;Simone;71;2024-02-18;15,0;4,0;5665,09;1416,27;VIP;True;2022-05-10;2024-11-15
12.755.570/9120-84;Joana Costa;inactive;Keli;31;2024-11-10;;;;;Regular;False;;
21.429.835/6063-85;Fernanda Ferreira;active;Amanda;61;2023-10-01;45,0;3,0;821,3;273,77;Leal;True;2022-07-14;2024-10-16
33.767.472/7819-17;Bruna Gomes;active;Juliana;81;2024-07-08;63,0;3,0;2561,02;853,67;Leal;False;2022-01-26;2024-09-28
67.415.277/1539-50;Sofia Nascimento;inactive;Vanessa;31;2024-10-08;211,0;5,0;4259,7;851,94;Em Risco;True;2022-05-04;2024-05-03
73.601.244/6320-42;Bruna Martins;active;Luciana;51;2022-12-16;371,0;4,0;5097,33;1274,33;Em Risco;True;2022-04-05;2023-11-25
93.560.831/1924-22;Natalia Ferreira;active;Carla;61;2024-08-18;2,0;5,0;4431,94;886,39;VIP;True;2022-12-21;2024-11-28
55.646.352/6713-78;Juliana Lima;active;Larissa;11;2023-03-14;130,0;6,0;6713,48;1118,91;VIP;True;2022-11-13;2024-07-23
56.549.109/3871-39;Patricia Carvalho;active;Adriana;71;2023-04-01;398,0;2,0;2245,21;1122,6;Inativo;False;2023-02-27;2023-10-29
14.218.900/3193-58;Juliana Araujo;inactive;Tatiane;41;2023-09-16;24,0;6,0;4558,53;759,76;VIP;True;2022-11-01;2024-11-06
20.952.381/5158-98;Bruna Nascimento;active;Carla;71;2023-10-05;;;;;Regular;False;;
95.926.894/5784-86;Leticia Pereira;inactive;Priscila;71;2023-01-27;210,0;4,0;3165,58;791,4;Em Risco;False;2023-02-19;2024-05-04
42.709.204/8266-10;Gabriela Rodrigues;inactive;Juliana;51;2023-07-28;297,0;7,0;4437,75;633,96;Em Risco;True;2022-04-11;2024-02-07
30.922.617/3000-78;Beatriz Araujo;active;Renata;81;2022-02-02;174,0;8,0;8092,14;1011,52;VIP;True;2022-02-07;2024-06-09
14.969.870/2460-32;Mariana Pereira;active;Larissa;81;2024-07-09;;;;;Regular;False;;
62.776.813/5178-26;Joana Rodrigues;active;Juliana;51;2023-02-14;447,0;3,0;952,0;317,33;Inativo;False;2022-05-05;2023-09-10
94.177.556/6997-10;Joana Nascimento;active;Elaine;51;2024-10-19;590,0;3,0;3226,31;1075,44;Inativo;True;2022-12-14;2023-04-20
60.784.816/8939-71;Renata Silva;active;Carla;71;2023-02-17;556,0;2,0;1384,26;692,13;Inativo;False;2022-05-22;2023-05-24
74.980.587/4419-81;Natalia Santos;active;Carla;61;2022-10-26;90,0;3,0;3883,38;1294,46;Leal;True;2024-04-24;2024-09-01
48.253.349/9865-63;Paula Costa;active;Tatiane;41;2022-03-14;262,0;2,0;1645,51;822,76;Regular;True;2022-01-12;2024-03-13
12.990.405/5363-74;Joana Almeida;inactive;Débora;21;2022-09-18;66,0;3,0;2347,44;782,48;Leal;True;2023-07-04;2024-09-25
63.335.488/8901-66;Maria Pereira;active;Carla;81;2023-11-21;57,0;7,0;3761,64;537,38;VIP;True;2023-09-22;2024-10-04
26.723.866/4374-32;Patricia Santos;active;Venda Direta;31;2024-08-16;117,0;3,0;1407,48;469,16;Leal;True;2022-07-27;2024-08-05
88.328.952/5673-84;Patricia Santos;inactive;Mariana;21;2024-01-02;339,0;3,0;2658,47;886,16;Em Risco;True;2022-11-19;2023-12-27
60.202.521/7881-47;Bruna Costa;active;Renata;71;2023-11-16;25,0;1,0;1066,45;1066,45;Novo Promissor;False;2024-11-05;2024-11-05
59.197.949/7941-88;Joana Rodrigues;active;Mariana;61;2024-04-19;258,0;4,0;3351,34;837,84;Em Risco;True;2023-02-06;2024-03-17
60.546.407/5261-97;Paula Lima;active;Vanessa;81;2022-12-01;182,0;6,0;4492,52;748,75;VIP;True;2022-04-05;2024-06-01
88.641.858/4177-60;Sofia Ferreira;active;Carla;61;2024-01-02;280,0;9,0;9917,96;1102,0;Em Risco;True;2022-05-29;2024-02-24
90.232.896/8043-19;Fernanda Carvalho;active;Simone;71;2024-03-14;355,0;4,0;5898,85;1474,71;Em Risco;True;2022-06-28;2023-12-11
65.500.429/3832-93;Ana Nascimento;active;Camila;21;2023-01-25;404,0;2,0;2276,08;1138,04;Inativo;False;2023-10-12;2023-10-23
97.168.645/8941-62;Juliana Silva;active;Amanda;21;2024-01-30;46,0;8,0;2833,75;354,22;VIP;True;2022-04-08;2024-10-15
75.304.225/4818-52;Fernanda Nascimento;inactive;Luciana;61;2024-06-01;332,0;5,0;5172,46;1034,49;Em Risco;True;2022-02-01;2024-01-03
84.982.210/1760-32;Isabela Costa;active;Bianca;91;2024-08-29;105,0;5,0;4536,62;907,32;VIP;True;2022-02-09;2024-08-17
64.947.194/7090-25;Fernanda Almeida;active;Adriana;31;2024-07-29;1,0;6,0;2986,17;497,7;VIP;True;2022-03-05;2024-11-29
17.459.795/9472-76;Clara Souza;active;Patrícia;81;2024-06-21;11,0;3,0;3399,91;1133,3;Leal;True;2024-04-11;2024-11-19
76.766.192/1671-59;Ana Martins;active;Fernanda;51;2022-01-24;362,0;4,0;4103,65;1025,91;Em Risco;True;2022-07-09;2023-12-04
70.733.150/8570-30;Bruna Silva;active;Adriana;61;2023-07-11;40,0;3,0;4975,87;1658,62;Leal;True;2023-02-07;2024-10-21
14.565.703/5777-70;Amanda Oliveira;inactive;Vanessa;61;2023-12-02;132,0;2,0;1024,31;512,16;Novo Promissor;False;2022-01-23;2024-07-21
31.504.937/7376-21;Luiza Rodrigues;active;Patrícia;31;2023-02-07;389,0;1,0;972,23;972,23;Inativo;False;2023-11-07;2023-11-07
55.645.177/8240-35;Beatriz Silva;active;Mariana;51;2023-03-17;21,0;5,0;3253,9;650,78;VIP;True;2022-08-10;2024-11-09
56.220.313/7493-72;Amanda Gomes;active;Patrícia;11;2024-05-31;385,0;4,0;4900,14;1225,03;Em Risco;True;2022-05-06;2023-11-11
57.672.436/2276-61;Isabela Santos;active;Luciana;21;2024-07-14;341,0;5,0;2683,56;536,71;Em Risco;True;2022-03-10;2023-12-25
88.402.738/1055-95;Isabela Silva;active;Patrícia;31;2023-04-30;125,0;6,0;5824,8;970,8;VIP;True;2022-06-08;2024-07-28
23.573.127/9150-87;Beatriz Oliveira;active;Adriana;41;2022-01-31;538,0;2,0;1936,05;968,03;Inativo;True;2023-05-06;2023-06-11
97.485.464/7809-23;Luiza Carvalho;active;Venda Direta;91;2022-11-18;128,0;4,0;2597,31;649,33;Leal;False;2022-11-06;2024-07-25
68.411.982/6126-12;Luiza Rodrigues;active;Fernanda;11;2023-07-20;20,0;5,0;2189,41;437,88;Leal;True;2023-03-14;2024-11-10
32.849.462/6870-27;Amanda Costa;active;Aline;31;2022-01-10;62,0;4,0;3170,86;792,71;VIP;True;2022-12-16;2024-09-29
47.838.982/4086-73;Patricia Araujo;active;Patrícia;31;2023-11-09;43,0;1,0;1084,7;1084,7;Novo Promissor;False;2024-10-18;2024-10-18
98.730.584/9905-48;Amanda Silva;active;Venda Direta;61;2024-04-30;789,0;1,0;1413,15;1413,15;Inativo;False;2022-10-03;2022-10-03
66.372.330/7229-53;Sofia Silva;inactive;Renata;51;2024-07-15;93,0;2,0;987,95;493,98;Novo Promissor;False;2024-05-29;2024-08-29
34.244.624/7168-77;Maria Lima;active;Tatiane;31;2022-10-12;80,0;3,0;2338,42;779,47;Leal;False;2022-05-24;2024-09-11
